,oldAIC,AIC,cost,country,time,a,r,beta_I,beta_A,mu_I,mu_A,nu,I0,alpha,t_lock,beta_lock
0,-1829.5883855326408,-2507.599111841959,0.00035086032385425763,Italy,fermi,1.0,1.0,0.0002550556041257301,1.3489090438255047,0.0004083749942913319,2.21693776244232,0.01895152635637109,9.544177711031044e-11,0.04869089006680325,62.42073468584608,
1,-712.7764686428787,-2505.290996194011,0.001433644101374209,Germany,rational,0.0,1.0,0.0015233330283290019,5.556853956694488,0.009490421939695726,0.2349762765149652,0.01297585248429002,1.0051618776567563e-30,0.09648310134685724,,
2,-1424.529801918691,-2482.725096659006,0.0015202614054878314,Germany,fermi,1.0,0.0,0.00013679839992899098,1.1076977820197569,0.0018493303183534434,1.279492540637615,0.0043930947258740295,1.30202085315953e-11,0.02687437137637585,57.26972555601726,
3,-797.7384650096029,-2477.741865470735,0.0009139402249803386,Italy,rational,0.0,1.0,0.008426793686415177,1.7873109899164603,0.04597833915080319,0.16132744095072174,0.07110934324985507,1.5787359249335373e-15,0.06533606200695287,,
4,-1539.041537607702,-2473.965001761805,0.0009158274340285047,Germany,exp,1.0,1.0,0.2949966398910427,2.429718244258124,1.180177802554152e-07,0.34017666820780856,0.0004407206373837598,1.2692350969942904e-19,0.0486143314611299,,
5,-1696.8626060567858,-2464.610653864501,0.0006270979654951038,Italy,rational,1.0,1.0,0.01694541461788046,2.9272745718869717,0.04142764697761879,0.10029884800058386,0.034635393747312934,3.501001413880372e-19,0.09427112557295583,,
6,-848.1369416063391,-2456.383037114826,0.0005817577737583169,Italy,fermi,0.0,0.0,0.009313523161731277,1.114746503603974,0.019221630919501808,1.5581198438646569,0.0121392098994986,1.550617753119221e-10,0.03580206264936625,54.34041129474717,
7,-845.9234213863101,-2453.6325072121,0.0006032776961290143,Italy,rational,0.0,0.0,0.0018484281250071009,2.2377009891429807,0.04735511134064505,1.9194698316004872,0.023200788245045727,1.7491976731011322e-10,0.01310495457738184,,
8,-771.248413791923,-2384.983120050881,0.001148403137663672,Italy,exp,0.0,1.0,1.3111333564685663,0.01394321406011225,1.1101840006185534e-07,0.6951499799172003,0.6744476737202909,2.5938447590057598e-12,0.05980117929860075,,
9,-1675.8287573716032,-2384.535893486748,0.000686609635192394,Italy,exp,1.0,1.0,1.2843320777493112,0.08898181578281869,5.026799754620439e-07,1.274350556371985,0.8122063579491468,2.1266968392138585e-12,0.05981742456285746,,
10,-738.5089229602506,-2288.9292978497533,0.0010040117176733725,United Kingdom,rational,0.0,1.0,0.6255421426034871,1.5651229725701543,0.056200742585432985,1.5207729902198182,0.007576470028805225,1.4661154387091108e-16,0.04118860959733947,,
